player_id,display_name,mean_receiving_yards,mean_receiving_tds,mean_receptions,median_receiving_yards,median_receiving_tds,median_receptions,p10_receiving_yards,p10_receiving_tds,p10_receptions,p90_receiving_yards,p90_receiving_tds,p90_receptions
00-0039849,Marvin Harrison Jr.,757.5,6.0,39.5,399.1,3.7,29.3,34.7,0.2,2.7,1765.9,15.0,88.0
00-0036252,Michael Pittman,744.5,4.4,46.2,389.2,2.6,35.0,36.1,0.0,3.4,1731.0,11.0,102.2
00-0039146,Jayden Reed,733.0,5.2,37.2,384.4,3.2,27.4,30.7,0.1,2.5,1651.0,13.1,83.2
00-0037239,Chris Olave,729.7,4.3,44.3,392.7,2.5,33.8,36.4,0.0,3.1,1688.2,10.7,97.1
00-0036613,Jaylen Waddle,727.4,4.1,42.3,378.2,2.4,31.4,32.2,0.0,2.9,1651.9,10.3,92.2
00-0037524,Tay Martin,727.0,9.8,17.6,383.0,6.9,11.2,34.9,0.7,1.0,1678.3,22.6,41.4
00-0038519,Nikko Remigio,711.9,3.6,26.0,375.4,2.0,18.3,37.3,0.0,1.7,1643.5,9.3,58.7
00-0039894,Xavier Worthy,706.5,6.0,43.9,375.7,3.7,32.8,36.9,0.2,3.2,1611.5,14.9,97.8
00-0038977,Tank Dell,696.0,4.5,40.7,384.6,2.7,30.7,35.6,0.1,3.0,1598.1,11.4,90.3
00-0036550,Rashod Bateman,695.2,6.9,33.1,362.9,4.4,23.9,32.3,0.3,2.2,1607.7,17.1,73.9
00-0034775,Christian Kirk,689.9,4.1,37.6,352.0,2.3,27.3,31.6,0.0,2.5,1606.3,10.3,83.2
00-0035719,Deebo Samuel Sr.,689.6,4.5,39.8,371.9,2.6,29.8,31.4,0.0,2.8,1575.1,11.4,89.5
00-0034521,Allen Lazard,664.8,6.3,35.5,347.5,3.9,25.9,30.5,0.2,2.5,1521.5,15.2,80.1
00-0040729,Jack Bech,662.1,4.9,37.2,343.5,2.9,27.7,34.3,0.1,2.8,1532.4,11.9,83.2
00-0039751,Jordan Whittington,660.8,3.7,37.2,340.5,2.1,27.4,32.3,0.0,2.7,1461.8,9.4,82.5
00-0039919,Rome Odunze,658.2,4.3,36.1,343.5,2.6,26.8,30.5,0.0,2.5,1427.4,10.8,81.1
00-0040667,Matthew Golden,657.0,4.8,37.1,349.3,2.8,27.2,34.6,0.1,2.7,1529.9,12.2,81.7
00-0040727,Tre Harris,655.1,4.8,36.8,343.4,2.9,27.4,31.8,0.1,2.8,1476.2,12.1,81.4
00-0037816,Romeo Doubs,653.4,4.8,37.6,344.6,2.8,27.8,29.5,0.1,2.6,1501.5,12.3,84.0
00-0038124,Christian Watson,649.8,4.2,27.1,352.5,2.4,19.2,29.9,0.0,1.7,1487.7,10.7,61.6
00-0035891,Cody White,648.0,3.7,26.1,347.4,2.1,18.3,30.0,0.0,1.7,1483.7,9.6,60.3
00-0038544,Quentin Johnston,647.1,6.2,39.0,351.4,3.9,28.4,31.1,0.2,2.6,1476.0,15.3,88.6
00-0032951,Laquon Treadwell,643.4,4.8,36.7,338.0,2.8,27.5,34.2,0.1,2.9,1462.6,12.1,81.4
00-0040129,Emeka Egbuka,642.4,4.8,37.0,336.2,2.8,27.3,30.5,0.1,2.8,1460.2,12.0,82.9
00-0032208,Phillip Dorsett,641.9,4.8,36.7,336.7,2.8,26.7,34.3,0.1,2.7,1440.4,12.1,81.4
00-0036412,KJ Hamler,637.3,4.8,36.9,340.2,2.8,27.0,30.9,0.1,2.5,1495.1,11.8,83.4
00-0040124,Tetairoa McMillan,636.5,4.8,36.8,334.3,2.8,26.9,30.2,0.1,2.6,1435.8,12.2,82.7
00-0035527,Andy Isabella,636.1,4.9,36.9,341.2,2.8,27.4,31.2,0.1,2.7,1458.4,12.4,81.7
00-0040130,Jayden Higgins,633.1,4.9,37.2,341.6,2.9,26.8,30.3,0.1,2.6,1446.1,12.4,83.6
00-0040735,Luther Burden III,629.5,4.8,37.0,338.6,2.8,26.7,31.3,0.1,2.6,1433.2,12.3,83.4
00-0036936,Rondale Moore,626.6,4.8,36.8,332.5,2.8,27.2,31.5,0.1,2.7,1441.0,12.2,82.1
00-0039491,Jalen Coker,624.8,4.4,33.9,342.7,2.6,24.4,29.3,0.0,2.2,1447.5,11.0,77.8
00-0033591,Noah Brown,621.2,4.0,35.8,321.5,2.3,26.5,29.0,0.0,2.5,1414.1,10.0,79.3
00-0038117,Wan'Dale Robinson,615.0,4.4,57.0,333.1,2.6,43.9,30.5,0.0,4.4,1427.1,11.2,123.1
00-0038608,Kayshon Boutte,613.3,4.4,33.5,317.7,2.6,24.6,29.0,0.0,2.4,1382.8,11.0,75.5
00-0039916,Ricky Pearsall,594.1,5.0,35.2,310.0,2.9,25.5,28.9,0.1,2.4,1387.4,12.5,79.6
00-0036841,Austin Trammell,589.8,3.6,26.1,320.2,2.0,18.0,25.8,0.0,1.5,1359.6,9.3,59.8
00-0034407,Ray-Ray McCloud,589.3,3.8,39.6,311.7,2.2,29.0,27.3,0.0,2.8,1366.5,9.7,88.6
00-0036988,Josh Palmer,582.7,4.0,31.1,314.0,2.3,22.6,29.3,0.0,2.2,1352.4,10.1,70.6
00-0038621,DeMario Douglas,580.2,4.4,44.7,312.1,2.6,34.0,29.8,0.1,3.3,1338.4,10.9,97.3
00-0038979,Cedric Tillman,579.6,5.2,36.5,309.4,3.1,26.7,27.7,0.1,2.7,1328.0,12.9,81.9
00-0036182,Nick Westbrook-Ikhine,577.5,7.6,29.9,312.9,4.8,21.2,29.0,0.4,2.0,1316.7,18.4,68.6
00-0039855,Jalen McMillan,557.6,6.7,33.1,290.5,4.2,24.0,27.4,0.3,2.3,1247.5,16.3,73.9
00-0035535,Darius Slayton,556.6,4.2,29.4,292.9,2.4,20.4,28.5,0.0,2.0,1270.2,10.8,67.3
00-0039901,Keon Coleman,554.4,4.7,25.6,293.0,2.7,17.9,27.2,0.1,1.7,1268.6,11.9,58.9
00-0036849,Tutu Atwell,553.7,3.6,31.9,289.6,2.1,23.0,29.6,0.0,2.5,1252.4,9.4,72.0
00-0037666,Jalen Tolbert,552.9,5.7,33.8,290.7,3.5,25.0,28.5,0.2,2.7,1268.7,14.2,74.6
00-0032211,Tyler Lockett,548.4,4.1,33.8,287.4,2.4,24.7,28.0,0.0,2.4,1245.2,10.5,75.9
00-0030564,DeAndre Hopkins,542.2,5.0,35.1,272.9,2.9,25.9,24.3,0.1,2.5,1233.4,12.6,78.9
00-0038559,Michael Wilson,536.0,4.7,33.2,270.8,2.8,24.1,23.4,0.0,2.1,1233.6,11.6,75.4
00-0039424,Devaughn Vele,527.2,4.6,34.3,277.2,2.7,24.4,24.4,0.1,2.4,1213.1,11.6,77.8
00-0039342,Xavier Legette,522.2,4.8,37.1,267.5,2.8,27.3,23.3,0.1,2.5,1182.9,11.9,82.6
00-0038563,Tre Tucker,509.1,4.4,32.4,259.5,2.6,23.3,24.2,0.0,2.1,1156.2,11.1,73.0
00-0032775,Demarcus Robinson,508.0,5.4,24.7,262.3,3.3,17.1,23.0,0.1,1.6,1176.9,13.4,57.1
00-0035216,Diontae Johnson,500.4,4.8,33.6,267.6,2.8,24.3,24.6,0.1,2.4,1152.4,12.2,75.7
00-0036980,Elijah Moore,499.2,3.9,40.6,264.0,2.3,29.8,23.6,0.0,3.1,1121.8,10.0,90.7
00-0034272,Marquez Valdes-Scantling,495.4,5.0,21.2,263.1,3.1,14.2,25.1,0.1,1.4,1131.2,12.5,49.5
00-0035208,Olamide Zaccheaus,494.1,4.4,33.9,259.9,2.6,25.2,24.8,0.1,2.5,1140.7,11.1,75.4
00-0035703,Miles Boykin,482.8,4.5,29.0,248.0,2.6,20.6,23.5,0.0,2.0,1107.3,11.2,66.3
00-0037272,Montrell Washington,482.4,4.4,29.0,246.4,2.6,21.0,25.3,0.0,2.1,1097.6,11.4,65.8
00-0037837,Calvin Austin III,481.1,4.5,26.6,257.1,2.6,18.5,25.6,0.1,1.9,1105.7,11.4,61.1
00-0035602,Alex Bachman,480.5,3.6,33.6,252.9,2.1,24.7,22.0,0.0,2.2,1109.2,9.5,75.4
00-0039386,Bub Means,480.5,4.7,28.1,246.8,2.8,19.9,21.7,0.1,1.8,1113.5,11.7,63.4
00-0038606,Parker Washington,480.0,4.6,30.2,256.1,2.7,21.6,23.9,0.1,2.2,1076.1,11.6,69.3
00-0040131,Kyle Williams,479.0,4.4,28.9,250.5,2.6,20.7,23.0,0.1,2.0,1090.8,11.0,65.3
00-0036950,Avery Williams,477.7,4.4,28.9,242.2,2.5,20.6,23.2,0.0,2.0,1058.8,11.1,65.8
00-0040184,KeAndre Lambert-Smith,476.5,4.5,28.8,249.4,2.6,20.4,24.7,0.1,2.1,1072.5,11.5,65.1
00-0038976,Marvin Mims Jr.,474.9,5.3,29.4,249.4,3.2,21.0,21.7,0.1,1.9,1095.7,13.3,67.4
00-0040648,Tory Horton,474.4,4.4,29.3,247.8,2.6,20.5,21.4,0.0,1.8,1101.3,11.1,65.8
00-0037828,Danny Gray,474.0,4.5,29.3,251.1,2.6,21.3,25.9,0.1,2.1,1078.1,11.1,65.8
00-0040134,Pat Bryant,472.1,4.4,28.7,245.6,2.5,20.4,22.5,0.1,2.0,1103.9,11.0,65.1
00-0040172,Jordan Watkins,470.9,4.4,29.2,251.2,2.6,20.7,22.3,0.0,2.0,1061.6,11.2,65.9
00-0036627,Dez Fitzpatrick,469.7,4.4,29.0,243.8,2.6,20.7,20.8,0.0,1.9,1034.4,11.2,66.3
00-0040154,Tai Felton,469.0,4.4,28.9,246.9,2.6,20.7,24.6,0.1,2.1,1098.0,11.0,65.6
00-0037273,Kyle Philips,468.2,4.4,28.5,241.1,2.5,20.5,21.4,0.0,1.9,1073.0,11.1,64.5
00-0040669,Isaac TeSlaa,468.1,4.2,29.2,245.5,2.5,20.9,21.0,0.0,1.8,1095.3,10.6,65.7
00-0040646,Jalen Royals,467.9,4.4,29.0,247.9,2.5,20.6,19.7,0.0,1.8,1034.5,11.5,66.5
00-0040705,Chimere Dike,467.4,4.5,28.6,250.9,2.6,20.5,24.7,0.1,2.1,1040.6,11.1,64.5
00-0034983,Hunter Renfrow,467.0,4.4,28.3,238.2,2.6,20.4,19.9,0.0,1.7,1046.7,11.1,64.5
00-0036918,Jacob Harris,466.9,4.4,28.8,242.6,2.6,20.1,23.7,0.1,2.1,1064.8,11.3,66.3
00-0038590,Justin Shorter,466.9,4.4,28.9,243.0,2.6,20.6,20.1,0.0,1.7,1065.7,11.3,66.2
00-0040009,Savion Williams,466.6,4.4,29.2,242.7,2.6,20.3,21.9,0.0,2.0,1043.4,11.1,67.1
00-0036626,Dyami Brown,466.5,4.0,29.9,251.3,2.4,21.4,22.0,0.0,2.0,1055.6,10.1,66.6
00-0040138,Jaylin Noel,464.7,4.3,29.0,246.4,2.6,20.8,25.6,0.1,2.1,1097.8,11.0,65.1
00-0034764,Michael Gallup,463.7,4.4,28.6,243.8,2.6,20.2,20.4,0.0,1.8,1066.5,11.1,65.3
00-0033572,Jamal Agnew,463.2,4.4,29.3,247.8,2.6,20.7,23.3,0.1,2.1,1044.9,11.1,67.2
00-0039739,Roman Wilson,462.7,4.5,29.2,251.1,2.6,20.8,24.5,0.1,2.2,1029.3,11.6,67.0
00-0038619,Andrei Iosivas,462.3,5.3,26.9,236.9,3.2,18.9,21.9,0.1,1.8,1069.8,13.2,61.0
00-0040581,Dont'e Thornton Jr.,460.8,4.4,28.7,244.1,2.5,20.4,22.5,0.0,1.9,1064.6,11.4,64.5
00-0040170,Elic Ayomanor,460.8,4.5,29.1,243.9,2.7,20.5,21.2,0.1,1.9,1078.2,11.3,66.2
00-0035662,Marquise Brown,457.7,3.7,32.9,239.7,2.1,24.3,21.2,0.0,2.2,1036.4,9.3,74.0
00-0032398,Chris Moore,455.8,4.4,29.2,241.7,2.6,20.6,21.0,0.0,1.8,1049.4,11.1,66.1
00-0037291,Jalen Nailor,454.6,5.5,26.1,246.3,3.4,18.2,22.2,0.1,1.7,1044.1,13.6,59.4
00-0037801,KaVontae Turpin,454.0,4.2,26.4,237.4,2.4,18.4,22.7,0.0,1.8,1054.1,10.8,60.8
00-0040164,Jaylin Lane,453.4,4.3,28.0,240.4,2.5,20.0,22.6,0.0,2.0,1070.3,11.1,63.7
00-0040582,Arian Smith,451.1,4.3,28.6,243.7,2.6,20.5,23.6,0.0,2.0,1033.2,10.7,64.9
00-0031236,Brandin Cooks,438.3,5.0,31.2,222.8,2.9,22.3,18.8,0.1,2.0,1027.1,12.6,71.4
00-0039810,Jermaine Burton,436.9,3.7,17.6,231.7,2.1,11.1,21.2,0.0,1.0,1027.3,9.4,41.8
00-0039365,Jacob Cowing,435.8,3.7,20.1,229.9,2.1,13.3,19.6,0.0,1.1,1002.1,9.3,47.3
00-0037257,David Bell,435.4,3.7,34.2,230.1,2.0,25.0,18.2,0.0,2.1,993.5,9.4,77.0
00-0037614,John Metchie III,432.2,4.0,30.3,229.6,2.3,22.1,21.8,0.0,2.3,978.7,10.2,68.5
00-0033375,Tim Patrick,431.3,4.5,27.3,227.1,2.6,19.2,19.4,0.0,1.8,1004.0,11.0,62.0
