player_id,display_name,mean_receiving_yards,mean_receiving_tds,mean_receptions,median_receiving_yards,median_receiving_tds,median_receptions,p10_receiving_yards,p10_receiving_tds,p10_receptions,p90_receiving_yards,p90_receiving_tds,p90_receptions
00-0035480,Malik Taylor,371.4,4.1,23.7,191.8,2.4,16.1,17.0,0.0,1.4,868.0,10.7,55.6
00-0038667,Elijah Cooks,371.4,4.1,23.6,192.5,2.4,16.4,16.9,0.0,1.4,849.1,10.5,54.7
00-0036233,Donovan Peoples-Jones,371.1,4.1,24.0,200.2,2.4,16.5,19.9,0.0,1.7,842.8,10.4,56.3
00-0038953,Dylan Drummond,370.5,4.2,24.0,196.7,2.4,16.3,18.0,0.0,1.5,854.1,10.8,54.9
00-0040237,Tez Johnson,370.4,4.2,24.1,191.9,2.5,16.4,15.9,0.0,1.4,853.5,10.6,55.8
00-0040522,Xavier Restrepo,370.0,4.2,24.1,196.9,2.5,16.4,17.9,0.0,1.5,856.7,10.6,56.1
00-0040315,Ja'Corey Brooks,369.8,4.2,24.1,192.7,2.5,16.3,17.2,0.0,1.6,836.5,10.6,55.0
00-0037098,Samori Toure,369.7,4.1,24.1,197.9,2.5,16.7,18.8,0.0,1.7,855.0,10.5,55.7
00-0035876,Andre Baccellia,369.4,4.1,23.9,194.5,2.4,16.2,19.0,0.0,1.6,834.8,10.4,54.2
00-0037380,Kaden Davis,369.3,4.1,24.0,190.4,2.5,16.6,18.4,0.0,1.5,844.8,10.4,55.3
00-0040247,Junior Bergen,369.2,4.2,24.0,193.1,2.5,16.4,16.9,0.0,1.5,859.8,10.5,56.1
00-0038821,Rakim Jarrett,368.7,3.7,21.4,191.9,2.1,14.3,16.5,0.0,1.3,848.3,9.3,49.6
00-0038839,Mitchell Tinsley,368.7,4.1,23.8,193.7,2.4,16.6,17.1,0.0,1.4,855.7,10.3,55.2
00-0038181,Lucky Jackson,368.5,4.2,23.9,192.7,2.4,16.7,15.2,0.0,1.4,868.7,10.6,55.4
00-0039415,Brenden Rice,368.5,4.2,24.2,195.2,2.4,17.0,19.1,0.0,1.5,869.6,10.4,55.0
00-0034406,Deon Cain,368.4,4.2,24.1,195.8,2.5,16.3,17.1,0.0,1.5,824.7,10.9,56.0
00-0039473,Xavier Johnson,367.7,4.1,24.2,194.6,2.4,16.7,19.1,0.0,1.7,855.9,10.4,55.3
00-0039701,Terique Owens,367.7,4.1,24.0,197.8,2.4,16.4,18.6,0.0,1.6,865.1,10.3,54.8
00-0038492,Jason Brownlee,367.6,4.2,23.6,188.4,2.4,16.1,15.8,0.0,1.4,841.0,10.5,54.8
00-0036219,Marquez Callaway,367.4,4.1,23.8,195.2,2.4,16.2,18.7,0.0,1.6,848.5,10.7,54.9
00-0040590,Konata Mumpfield,367.2,4.1,24.0,194.4,2.4,16.4,16.6,0.0,1.5,857.5,10.3,56.2
00-0034317,Keith Kirkwood,366.7,4.2,24.2,192.8,2.4,16.5,18.6,0.0,1.5,834.2,10.5,55.2
00-0033251,Zach Pascal,365.8,4.3,23.9,192.5,2.5,16.7,18.7,0.0,1.6,856.9,10.8,55.0
00-0036646,Simi Fehoko,365.4,3.7,19.0,194.1,2.1,13.0,18.7,0.0,1.2,855.7,9.6,43.9
00-0040323,Chandler Brayboy,365.3,4.1,23.8,195.7,2.4,16.1,18.8,0.0,1.5,846.0,10.5,55.5
00-0038891,Shedrick Jackson,365.3,4.2,23.4,190.8,2.4,16.2,17.4,0.0,1.4,869.6,10.7,54.1
00-0039397,Tejhaun Palmer,364.9,4.2,23.9,194.7,2.3,16.8,17.4,0.0,1.5,857.0,10.5,55.5
00-0038612,A.T. Perry,364.6,4.2,23.8,193.5,2.4,16.4,16.9,0.0,1.5,850.5,10.3,54.7
00-0038911,Malik Cunningham,363.0,4.1,23.4,186.2,2.4,15.9,14.3,0.0,1.2,845.9,10.3,54.4
00-0038651,Chase Cota,362.9,4.2,23.8,188.1,2.3,16.2,18.3,0.0,1.5,817.4,10.5,55.4
00-0035500,Greg Dortch,362.5,4.4,27.2,188.4,2.6,19.3,17.6,0.0,1.9,825.3,11.0,61.3
00-0035406,Lil'Jordan Humphrey,359.8,3.9,28.0,187.7,2.3,19.9,17.6,0.0,2.0,812.7,10.0,63.8
00-0034418,Cedrick Wilson Jr.,358.8,3.9,25.2,182.6,2.2,17.3,16.0,0.0,1.6,832.3,10.1,57.9
00-0033282,Curtis Samuel,348.0,4.4,27.1,182.0,2.5,18.7,14.5,0.0,1.6,795.9,11.2,62.8
00-0036415,Van Jefferson,345.7,4.4,22.5,181.0,2.6,15.2,13.4,0.0,1.2,802.0,11.1,52.3
00-0039868,Troy Franklin,339.2,4.4,24.3,177.0,2.6,16.5,16.1,0.0,1.5,780.2,11.0,55.9
00-0037231,Kevin Austin Jr.,334.8,3.6,20.4,172.4,2.1,13.3,16.2,0.0,1.3,774.2,9.2,47.9
00-0039650,Bryce Oliver,334.5,3.6,19.3,178.6,2.1,12.5,17.2,0.0,1.2,768.2,9.3,45.1
00-0036183,Kristian Wilkerson,330.9,9.8,25.9,168.7,6.7,17.9,14.3,0.6,1.5,779.4,23.0,59.6
00-0039890,Adonai Mitchell,328.6,3.7,20.2,169.0,2.2,13.5,14.1,0.0,1.1,769.9,9.6,46.4
00-0039880,Malik Washington,324.0,3.6,27.3,170.4,2.0,19.1,14.3,0.0,1.8,730.8,9.1,61.4
00-0039052,Trey Palmer,323.3,4.1,19.3,167.4,2.4,12.6,15.6,0.0,1.2,734.9,10.4,45.5
00-0030431,Robert Woods,320.6,3.7,23.3,167.0,2.1,16.0,17.2,0.0,1.7,745.8,9.6,53.4
00-0035298,Scott Miller,319.5,3.7,19.3,167.5,2.1,13.0,16.0,0.0,1.2,739.5,9.2,45.3
00-0034386,Justin Watson,318.9,4.1,19.7,165.3,2.4,13.1,14.1,0.0,1.1,734.3,10.4,46.4
00-0037741,Jahan Dotson,316.9,3.9,20.6,159.4,2.3,13.8,15.8,0.0,1.3,740.2,10.0,48.6
00-0036862,Ben Skowronek,311.7,3.6,19.4,161.0,2.1,12.5,13.1,0.0,1.0,713.8,9.4,46.1
00-0038465,Malik Heath,306.5,5.2,23.0,157.0,3.1,16.1,15.7,0.2,1.6,719.7,12.8,52.6
00-0038824,Ryan Miller,300.8,4.8,21.8,155.4,2.8,14.7,16.0,0.1,1.5,684.7,12.1,50.6
00-0038640,Jalen Brooks,294.4,4.0,17.6,148.6,2.3,11.2,13.8,0.0,1.0,670.8,10.3,42.1
00-0039410,Ryan Flournoy,294.3,3.7,21.0,150.8,2.1,14.1,13.9,0.0,1.3,668.5,9.4,48.6
00-0036620,Dee Eskridge,286.9,3.6,17.1,146.2,2.1,11.1,11.6,0.0,0.8,654.1,9.3,40.8
00-0034353,Anthony Miller,286.1,3.7,22.9,144.3,2.1,15.7,12.5,0.0,1.3,663.4,9.5,53.3
00-0034860,Dante Pettis,283.5,4.1,21.7,146.8,2.4,14.6,12.5,0.0,1.2,650.0,10.3,50.6
00-0031763,DeAndre Carter,279.3,3.6,24.0,142.0,2.1,16.5,11.8,0.0,1.4,658.7,9.2,55.4
00-0036387,Jalen Reagor,278.6,3.7,17.6,143.6,2.1,11.3,13.3,0.0,1.0,658.6,9.4,42.1
00-0033891,Zay Jones,278.2,3.7,20.3,139.5,2.1,13.5,13.4,0.0,1.3,651.3,9.3,47.1
00-0036497,Tim Jones,277.2,3.6,17.1,139.1,2.0,11.0,11.2,0.0,0.9,636.0,9.3,41.0
00-0039747,Ainias Smith,267.8,5.2,28.7,139.1,3.2,20.4,12.0,0.1,1.8,616.9,13.0,65.5
00-0039355,Luke McCaffrey,266.0,3.7,20.6,137.6,2.1,13.8,13.2,0.0,1.3,604.3,9.4,47.9
00-0035140,Mecole Hardman,262.7,3.7,23.3,137.0,2.1,16.0,10.9,0.0,1.4,600.6,9.5,53.7
00-0038618,Xavier Hutchinson,257.8,3.7,17.8,132.8,2.1,11.6,11.8,0.0,1.1,592.9,9.4,42.0
00-0039062,Jonathan Mingo,257.7,3.7,19.6,130.9,2.2,13.0,11.5,0.0,1.2,593.4,9.4,45.5
00-0037132,Britain Covey,247.7,3.7,28.9,124.8,2.1,20.6,11.3,0.0,2.0,568.3,9.2,64.9
00-0038104,Tyquan Thornton,241.8,3.7,17.1,128.6,2.1,11.1,10.4,0.0,0.9,570.7,9.3,40.7
00-0036133,James Proche,240.1,3.7,21.5,119.1,2.1,14.6,10.3,0.0,1.3,537.0,9.4,50.0
00-0033292,Trent Taylor,236.0,3.7,17.3,122.3,2.1,11.2,11.9,0.0,1.0,550.8,9.3,41.1
00-0039623,Mason Tipton,235.6,3.7,22.1,122.4,2.1,14.9,10.7,0.0,1.2,537.9,9.4,51.4
00-0039792,Devontez Walker,233.9,6.2,13.4,119.9,3.9,8.3,10.9,0.3,0.6,535.3,15.2,32.5
00-0038752,Jake Bobo,230.2,4.1,18.9,115.3,2.4,12.3,9.5,0.0,1.0,522.3,10.4,45.2
00-0034487,Trent Sherfield,228.2,4.1,18.5,114.7,2.4,12.2,10.7,0.0,1.0,543.5,10.3,43.8
00-0038573,Derius Davis,227.3,4.3,18.9,112.5,2.5,12.3,10.9,0.0,1.1,525.5,11.0,45.0
00-0036345,K.J. Osborn,216.8,4.3,18.8,111.5,2.5,12.4,10.4,0.0,1.1,502.6,11.1,43.8
00-0037422,Kendric Pryor,213.8,3.7,17.5,107.6,2.1,11.2,9.8,0.0,1.0,496.5,9.5,41.6
00-0037091,Bo Melton,212.6,3.7,15.6,108.3,2.1,9.8,11.1,0.0,0.9,496.0,9.4,37.3
00-0037382,Brandon Johnson,208.6,3.7,17.2,109.2,2.1,11.1,9.5,0.0,0.9,499.8,9.7,40.9
00-0034777,DJ Chark,208.3,4.5,17.4,107.9,2.6,11.4,9.8,0.1,1.0,485.9,11.3,42.0
00-0036176,Mason Kinsey,205.7,3.7,17.7,105.4,2.1,11.1,10.2,0.0,1.0,479.2,9.4,42.8
00-0036331,Devin Duvernay,201.3,3.7,18.5,104.8,2.2,12.0,10.4,0.0,1.1,465.1,9.5,44.0
00-0036463,Chris Blair,200.1,3.7,13.4,106.1,2.1,8.3,9.6,0.0,0.6,468.1,9.7,32.6
00-0036955,Terrace Marshall Jr.,197.3,3.6,14.1,103.1,2.0,8.7,9.8,0.0,0.6,459.5,9.2,34.2
00-0035021,Ashton Dulin,196.7,4.1,11.0,98.8,2.3,6.6,7.8,0.0,0.3,464.3,10.4,26.8
00-0038647,Ronnie Bell,194.4,3.7,14.6,98.8,2.1,8.9,8.1,0.0,0.7,456.5,9.6,35.6
00-0035639,Parris Campbell,189.5,4.7,21.0,97.7,2.8,14.2,7.9,0.1,1.2,437.4,12.0,49.3
00-0039394,Casey Washington,189.0,3.7,13.1,97.0,2.1,8.2,9.0,0.0,0.6,431.2,9.5,31.9
00-0037742,Treylon Burks,185.9,3.7,15.9,96.1,2.1,10.1,9.3,0.0,0.9,438.4,9.2,38.0
00-0039907,Ja'Lynn Polk,181.8,4.2,16.6,91.8,2.5,10.5,7.4,0.0,0.9,422.4,10.8,40.4
00-0038938,Jalin Hyatt,180.1,3.7,15.6,92.0,2.1,9.8,8.0,0.0,0.8,412.5,9.5,37.1
00-0036165,Isaiah Hodgins,177.6,3.7,17.5,88.6,2.1,11.1,7.3,0.0,1.0,410.4,9.3,42.0
00-0036268,Laviska Shenault Jr.,177.5,3.6,16.3,88.5,2.1,10.1,7.9,0.0,0.8,418.0,9.2,38.9
00-0038496,Xavier Gipson,173.5,4.2,16.1,86.9,2.5,10.2,7.6,0.0,0.9,398.5,10.8,38.4
00-0039451,Isaiah Williams,170.1,3.6,25.8,87.7,2.1,17.8,7.8,0.0,1.7,397.6,9.3,59.6
00-0038941,Tyler Scott,158.2,3.6,17.2,81.0,2.0,10.9,6.8,0.0,1.0,377.1,9.5,41.2
00-0039392,Jha'Quan Jackson,148.7,3.7,13.2,73.5,2.1,8.2,5.9,0.0,0.5,348.1,9.3,31.8
00-0035341,Trenton Irwin,147.3,3.6,15.4,72.6,2.1,9.8,6.5,0.0,0.8,347.1,9.3,36.6
00-0039236,Johnny Wilson,143.9,4.0,13.3,72.6,2.3,8.0,5.6,0.0,0.5,324.0,10.1,32.3
00-0039543,Ramel Keyton,141.3,3.7,13.4,69.9,2.0,8.1,6.5,0.0,0.6,329.9,9.4,32.3
00-0039379,Jamari Thrash,140.3,3.6,13.3,70.7,2.0,8.0,6.8,0.0,0.6,333.9,9.3,32.3
00-0039920,Malachi Corley,139.4,3.7,14.1,69.3,2.1,8.8,6.4,0.0,0.7,323.5,9.4,33.9
00-0036254,Collin Johnson,139.0,3.5,13.3,66.5,2.0,8.1,5.8,0.0,0.6,333.8,9.0,32.5
00-0039853,Javon Baker,134.0,3.6,11.2,66.9,2.1,6.8,5.9,0.0,0.4,315.7,9.3,27.0
00-0038576,Charlie Jones,131.3,3.6,13.5,63.7,2.0,8.1,5.4,0.0,0.6,311.2,9.3,33.1
00-0038359,Xavier Smith,127.8,3.7,14.8,60.6,2.1,9.1,4.7,0.0,0.6,299.0,9.5,36.0
00-0034928,Steven Sims,118.5,3.6,11.9,56.2,2.0,7.0,4.9,0.0,0.4,272.6,9.2,29.6
00-0038092,Erik Ezukanma,103.2,3.7,9.7,49.4,2.2,5.7,4.3,0.0,0.3,237.5,9.3,23.8
00-0038728,Jared Wayne,102.3,3.6,9.6,47.6,2.1,5.6,3.7,0.0,0.2,237.3,9.4,23.5
00-0036635,Ihmir Smith-Marsette,102.0,3.7,9.7,46.7,2.1,5.6,3.7,0.0,0.2,240.6,9.4,23.7
00-0035544,Tom Kennedy,102.0,3.7,9.6,48.2,2.1,5.7,4.0,0.0,0.2,235.7,9.4,23.6
00-0038090,Skyy Moore,100.0,3.7,9.6,47.8,2.0,5.6,4.0,0.0,0.3,234.9,9.5,23.5
00-0039589,Kameron Johnson,99.8,3.7,9.7,47.9,2.1,5.6,3.8,0.0,0.2,238.6,9.5,23.5
00-0034419,Braxton Berrios,99.0,3.7,9.6,47.7,2.1,5.6,3.7,0.0,0.2,231.7,9.7,23.6
00-0039521,Xavier Weaver,99.0,3.6,9.5,47.2,2.1,5.6,3.8,0.0,0.2,235.6,9.4,23.1
00-0037093,Dareke Young,98.8,3.6,9.4,46.5,2.0,5.6,3.8,0.0,0.2,233.5,9.2,23.2
00-0037156,Irvin Charles,98.6,3.6,9.4,47.7,2.1,5.6,4.1,0.0,0.3,238.3,9.2,22.1
00-0038477,Bryce Ford-Wheaton,96.6,3.7,9.5,47.8,2.1,5.6,4.2,0.0,0.3,225.8,9.4,23.2
00-0038840,Brycen Tremayne,75.7,3.6,17.4,34.5,2.1,11.4,2.8,0.0,1.0,180.0,9.4,41.1
