player_id,display_name,mean_receiving_yards,mean_receiving_tds,mean_receptions,mean_rushing_yards,mean_rushing_tds,mean_fumbles,median_receiving_yards,median_receiving_tds,median_receptions,median_rushing_yards,median_rushing_tds,median_fumbles,p10_receiving_yards,p10_receiving_tds,p10_receptions,p10_rushing_yards,p10_rushing_tds,p10_fumbles,p90_receiving_yards,p90_receiving_tds,p90_receptions,p90_rushing_yards,p90_rushing_tds,p90_fumbles
00-0033040,Tyreek Hill,898.6,5.3,75.6,23.3,0.0,0.2,760.3,4.6,67.5,13.8,0.0,0.0,332.4,1.8,35.0,2.5,0.0,0.0,1713.7,10.2,129.9,60.2,0.0,0.7
00-0036410,Tee Higgins,858.1,8.9,68.2,0.1,0.0,1.1,726.1,7.7,61.0,0.0,0.0,1.0,318.8,3.4,31.8,0.0,0.0,0.1,1623.8,16.4,118.3,0.1,0.0,2.4
00-0037247,George Pickens,840.8,2.6,55.1,0.0,0.0,1.1,710.4,2.2,49.4,0.0,0.0,1.0,310.1,0.6,24.9,0.0,0.0,0.2,1618.3,5.3,94.9,0.0,0.0,2.3
00-0039849,Marvin Harrison Jr.,829.9,7.1,57.9,0.1,0.0,1.1,702.2,6.1,51.8,0.0,0.0,1.0,307.8,2.6,27.1,0.0,0.0,0.2,1571.4,13.2,99.7,0.1,0.0,2.4
00-0038994,Jordan Addison,818.9,8.0,58.5,8.4,0.2,0.2,692.4,7.0,52.5,4.7,0.0,0.0,305.5,3.0,27.1,0.3,0.0,0.0,1560.6,14.9,101.7,22.5,0.5,0.7
00-0039146,Jayden Reed,803.1,5.3,51.5,70.5,0.2,1.1,674.2,4.6,46.3,42.5,0.0,1.0,295.7,1.8,23.6,9.8,0.0,0.1,1525.0,10.1,88.8,178.2,0.5,2.3
00-0036912,DeVonta Smith,779.7,7.0,63.4,0.3,0.0,0.2,657.6,6.1,57.0,0.0,0.0,0.0,292.0,2.5,29.1,0.0,0.0,0.0,1487.7,13.3,109.5,1.2,0.0,0.7
00-0037664,Alec Pierce,772.8,6.2,34.5,0.1,0.0,0.2,650.4,5.3,30.8,0.0,0.0,0.0,291.3,2.1,15.9,0.0,0.0,0.0,1475.4,11.6,60.1,0.1,0.0,0.7
00-0037261,Khalil Shakir,768.0,3.4,71.9,1.4,0.0,1.1,645.6,2.9,64.8,0.4,0.0,1.0,286.3,1.0,32.8,0.0,0.0,0.1,1469.2,6.8,124.4,4.6,0.0,2.4
00-0036252,Michael Pittman,755.7,2.6,65.0,0.1,0.0,1.1,634.6,2.1,58.4,0.0,0.0,1.0,277.7,0.6,30.2,0.0,0.0,0.2,1451.4,5.3,111.7,0.1,0.0,2.4
00-0038997,Josh Downs,750.6,4.4,67.2,0.0,0.0,0.2,629.9,3.8,60.1,0.0,0.0,0.0,282.7,1.4,31.1,0.0,0.0,0.0,1439.4,8.6,116.6,0.0,0.0,0.7
00-0036550,Rashod Bateman,716.3,8.0,41.9,0.1,0.0,0.2,596.3,7.0,37.6,0.0,0.0,0.0,262.9,2.9,19.1,0.0,0.0,0.0,1389.0,14.9,72.3,0.1,0.0,0.7
00-0036613,Jaylen Waddle,698.0,1.7,54.3,4.8,0.0,0.2,586.7,1.4,48.9,2.5,0.0,0.0,259.5,0.2,25.0,0.0,0.0,0.0,1332.8,3.7,93.4,13.7,0.0,0.7
00-0039919,Rome Odunze,687.7,2.6,50.8,6.1,0.0,2.2,578.4,2.2,45.8,3.4,0.0,1.9,256.0,0.6,23.1,0.0,0.0,0.7,1305.6,5.4,87.4,16.9,0.0,4.0
00-0033908,Cooper Kupp,670.8,5.2,62.2,4.0,0.0,1.1,564.5,4.5,55.9,2.0,0.0,1.0,249.2,1.8,29.1,0.0,0.0,0.2,1290.3,10.0,106.4,11.1,0.0,2.4
00-0038544,Quentin Johnston,658.4,7.1,51.3,2.3,0.0,0.2,549.8,6.1,46.1,0.9,0.0,0.0,243.4,2.6,23.5,0.0,0.0,0.0,1259.0,13.3,88.3,7.1,0.0,0.7
00-0038117,Wan'Dale Robinson,651.9,2.6,86.4,7.4,0.0,0.2,544.8,2.2,76.9,4.1,0.0,0.0,242.4,0.6,40.7,0.2,0.0,0.0,1249.2,5.4,148.0,20.0,0.0,0.7
00-0034407,Ray-Ray McCloud,643.6,0.8,57.8,34.8,0.0,3.2,537.0,0.6,51.8,21.0,0.0,2.9,236.2,0.0,26.2,4.1,0.0,1.3,1225.8,2.1,99.2,89.3,0.0,5.7
00-0035719,Deebo Samuel Sr.,624.0,2.6,47.3,59.3,0.2,0.2,517.0,2.2,42.7,35.9,0.0,0.0,231.3,0.6,21.6,7.7,0.0,0.0,1198.5,5.3,81.1,149.6,0.5,0.7
00-0038977,Tank Dell,620.6,2.6,47.6,18.2,0.0,0.2,527.5,2.2,42.4,10.6,0.0,0.0,230.5,0.6,21.7,1.9,0.0,0.0,1180.8,5.4,82.7,48.2,0.0,0.7
00-0039894,Xavier Worthy,598.4,5.3,55.1,45.2,1.1,0.2,504.5,4.5,49.3,27.2,1.1,0.0,220.4,1.8,25.4,5.8,0.4,0.0,1148.5,10.1,95.5,113.9,2.0,0.7
00-0038124,Christian Watson,584.5,1.7,26.8,9.3,0.0,1.1,491.6,1.4,23.9,5.1,0.0,1.0,216.1,0.2,12.1,0.5,0.0,0.2,1110.2,3.7,46.1,25.0,0.0,2.3
00-0038621,DeMario Douglas,580.4,2.6,61.0,6.6,0.0,1.1,484.6,2.2,54.3,3.7,0.0,1.0,218.2,0.6,28.5,0.1,0.0,0.2,1106.6,5.3,105.0,17.8,0.0,2.4
00-0030035,Adam Thielen,574.3,4.3,45.0,0.1,0.0,0.2,482.4,3.7,40.4,0.0,0.0,0.0,214.4,1.4,20.5,0.0,0.0,0.0,1096.2,8.4,77.6,0.1,0.0,0.7
00-0030564,DeAndre Hopkins,573.6,4.4,52.0,0.1,0.0,1.1,484.1,3.8,46.6,0.0,0.0,1.0,211.6,1.4,24.0,0.0,0.0,0.2,1091.2,8.4,89.3,0.1,0.0,2.4
00-0037666,Jalen Tolbert,565.8,6.2,45.6,0.1,0.0,0.2,474.3,5.4,40.7,0.0,0.0,0.0,212.6,2.2,20.8,0.0,0.0,0.0,1090.0,11.7,78.6,0.1,0.0,0.7
00-0032211,Tyler Lockett,560.8,1.7,45.8,0.1,0.0,0.2,475.5,1.4,40.9,0.0,0.0,0.0,209.9,0.2,20.9,0.0,0.0,0.0,1063.4,3.7,79.1,0.1,0.0,0.7
00-0037816,Romeo Doubs,559.4,3.5,43.0,0.1,0.0,0.2,474.6,2.9,38.6,0.0,0.0,0.0,211.6,1.0,19.7,0.0,0.0,0.0,1053.1,6.8,74.3,0.1,0.0,0.7
00-0038608,Kayshon Boutte,555.1,2.6,40.5,0.1,0.0,0.2,470.1,2.2,36.7,0.0,0.0,0.0,206.9,0.6,18.4,0.0,0.0,0.0,1061.1,5.4,70.2,0.1,0.0,0.7
00-0036988,Josh Palmer,552.8,0.8,36.5,0.1,0.0,0.2,466.4,0.6,32.4,0.0,0.0,0.0,206.5,0.0,16.7,0.0,0.0,0.0,1054.7,2.2,63.3,0.1,0.0,0.7
00-0033921,Chris Godwin,542.9,4.4,46.5,0.6,0.0,1.1,459.2,3.8,41.4,0.0,0.0,1.0,202.3,1.4,21.4,0.0,0.0,0.2,1026.9,8.5,80.8,2.3,0.0,2.4
00-0035535,Darius Slayton,539.4,1.7,36.5,7.0,0.0,0.2,451.5,1.3,32.9,3.8,0.0,0.0,198.6,0.2,16.8,0.2,0.0,0.0,1025.0,3.8,62.7,19.2,0.0,0.7
00-0036849,Tutu Atwell,523.6,0.1,39.2,2.6,0.0,0.2,440.3,0.0,35.3,1.1,0.0,0.0,195.8,0.0,17.8,0.0,0.0,0.0,1002.3,0.6,67.7,7.8,0.0,0.7
00-0039901,Keon Coleman,517.3,3.5,27.1,3.5,0.0,0.2,433.2,3.0,24.1,1.7,0.0,0.0,190.0,1.0,12.3,0.0,0.0,0.0,995.8,6.9,47.3,10.2,0.0,0.7
00-0038559,Michael Wilson,512.3,3.5,44.0,2.6,0.0,1.1,431.7,3.0,39.4,1.1,0.0,1.0,189.6,1.0,19.9,0.0,0.0,0.2,962.2,6.9,76.1,7.7,0.0,2.4
00-0037837,Calvin Austin III,510.2,3.5,33.5,0.1,0.0,0.2,429.3,3.0,30.0,0.0,0.0,0.0,191.1,1.0,15.2,0.0,0.0,0.0,976.1,6.9,58.2,0.1,0.0,0.7
00-0036980,Elijah Moore,508.6,0.8,56.8,0.3,0.0,0.2,431.9,0.6,50.9,0.0,0.0,0.0,187.2,0.0,26.2,0.0,0.0,0.0,968.3,2.2,98.0,1.2,0.0,0.7
00-0038563,Tre Tucker,505.7,2.6,44.1,19.0,0.2,0.2,426.4,2.2,39.4,11.2,0.0,0.0,185.9,0.6,20.1,1.9,0.0,0.0,960.9,5.3,76.4,49.4,0.5,0.7
00-0034521,Allen Lazard,499.5,5.3,34.4,0.1,0.0,0.2,420.6,4.5,30.8,0.0,0.0,0.0,185.0,1.8,15.8,0.0,0.0,0.0,948.4,10.0,59.7,0.1,0.0,0.7
00-0035208,Olamide Zaccheaus,472.1,2.6,41.6,3.1,0.0,0.2,397.9,2.2,37.1,1.4,0.0,0.0,178.4,0.6,19.0,0.0,0.0,0.0,896.8,5.2,72.3,9.1,0.0,0.7
00-0032775,Demarcus Robinson,470.2,6.1,29.1,0.1,0.0,0.2,395.0,5.3,26.0,0.0,0.0,0.0,173.9,2.2,13.1,0.0,0.0,0.0,901.6,11.6,50.5,0.1,0.0,0.7
00-0038976,Marvin Mims Jr.,468.9,5.3,36.6,18.1,0.0,1.1,397.5,4.6,32.8,10.7,0.0,1.0,173.4,1.8,16.6,1.7,0.0,0.1,895.1,9.9,63.4,47.8,0.0,2.4
00-0039342,Xavier Legette,468.4,3.5,46.1,10.2,0.0,0.2,396.6,3.0,41.1,5.8,0.0,0.0,175.8,1.0,21.2,0.6,0.0,0.0,887.3,6.9,80.1,27.1,0.0,0.7
00-0036182,Nick Westbrook-Ikhine,463.5,7.9,29.9,0.1,0.0,0.2,393.2,6.9,26.8,0.0,0.0,0.0,173.4,3.0,13.3,0.0,0.0,0.0,879.6,14.8,52.3,0.1,0.0,0.7
00-0031588,Stefon Diggs,461.9,2.6,43.7,3.0,0.2,0.2,389.1,2.1,39.3,1.4,0.0,0.0,170.8,0.6,20.3,0.0,0.0,0.0,879.6,5.3,75.3,8.8,0.5,0.7
00-0038619,Andrei Iosivas,447.5,5.3,33.3,0.1,0.0,0.2,379.4,4.6,29.8,0.0,0.0,0.0,168.6,1.7,15.1,0.0,0.0,0.0,840.7,10.0,57.8,0.1,0.0,0.7
00-0039424,Devaughn Vele,446.0,2.6,38.3,0.1,0.0,0.2,374.2,2.2,34.2,0.0,0.0,0.0,164.3,0.6,17.6,0.0,0.0,0.0,853.4,5.3,66.7,0.1,0.0,0.7
00-0039491,Jalen Coker,444.4,1.7,29.8,0.1,0.0,0.2,373.1,1.3,26.5,0.0,0.0,0.0,165.4,0.2,13.5,0.0,0.0,0.0,848.1,3.7,51.8,0.1,0.0,0.7
00-0039855,Jalen McMillan,431.3,7.1,34.7,18.4,0.0,0.2,362.6,6.2,31.1,10.8,0.0,0.0,161.4,2.5,15.8,1.9,0.0,0.0,821.6,13.3,60.1,47.4,0.0,0.7
00-0033591,Noah Brown,427.9,0.8,32.8,0.1,0.0,0.2,358.9,0.6,29.4,0.0,0.0,0.0,158.3,0.0,14.8,0.0,0.0,0.0,811.2,2.1,56.6,0.1,0.0,0.7
00-0037801,KaVontae Turpin,393.0,1.7,29.0,40.2,0.0,2.2,330.0,1.4,26.0,24.0,0.0,2.0,146.8,0.2,13.1,5.1,0.0,0.7,747.5,3.7,50.3,103.4,0.0,4.0
00-0037291,Jalen Nailor,389.0,5.3,26.3,0.0,0.0,0.2,328.5,4.6,23.6,0.0,0.0,0.0,143.5,1.8,11.8,0.0,0.0,0.0,739.0,10.0,45.8,0.0,0.0,0.7
00-0038393,Dontayvion Wicks,386.2,4.4,36.3,0.1,0.0,0.2,323.0,3.8,32.4,0.0,0.0,0.0,143.8,1.4,16.7,0.0,0.0,0.0,737.0,8.5,62.2,0.1,0.0,0.7
00-0034272,Marquez Valdes-Scantling,385.4,3.5,17.9,1.4,0.0,0.2,323.2,2.9,16.1,0.3,0.0,0.0,145.3,1.0,7.8,0.0,0.0,0.0,735.9,6.9,31.4,4.6,0.0,0.7
00-0037239,Chris Olave,378.7,0.8,29.9,2.6,0.0,1.1,319.0,0.6,26.6,1.2,0.0,1.0,139.0,0.0,13.7,0.0,0.0,0.2,720.5,2.1,51.7,8.0,0.0,2.3
00-0039916,Ricky Pearsall,377.0,2.6,28.9,19.7,0.0,0.2,317.9,2.2,26.0,11.6,0.0,0.0,139.2,0.6,12.9,2.0,0.0,0.0,714.5,5.4,50.1,50.8,0.0,0.7
00-0038606,Parker Washington,367.8,2.6,29.9,0.1,0.0,1.1,310.6,2.2,26.8,0.0,0.0,1.0,135.9,0.6,13.5,0.0,0.0,0.2,701.5,5.4,51.9,0.1,0.0,2.3
00-0033375,Tim Patrick,366.6,2.6,30.8,0.1,0.0,0.2,305.2,2.2,27.5,0.0,0.0,0.0,135.2,0.6,14.0,0.0,0.0,0.0,706.7,5.3,53.7,0.1,0.0,0.7
